time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-30T19:20:16.923Z,35.5735,74.5666,10,4.5,mb,,75,2.196,0.88,us,us70006sly,2020-03-14T22:23:04.040Z,"36km NW of Idgah, Pakistan",earthquake,4.8,1.9,0.08,45,reviewed,us,us
2019-12-30T17:49:59.468Z,35.6305,74.6387,24.32,5,mww,,43,2.275,0.66,us,us70006sjv,2020-03-14T22:23:07.040Z,"37km NNW of Idgah, Pakistan",earthquake,6.7,4.4,0.086,13,reviewed,us,us
2019-12-30T17:28:26.422Z,35.7053,74.5835,10,4.5,mb,,85,2.318,1.34,us,us70007063,2020-03-14T22:23:08.040Z,"34km SE of Gilgit, Pakistan",earthquake,7.6,1.9,0.121,20,reviewed,us,us
2019-12-30T17:18:57.445Z,35.5909,74.628,13.82,5.6,mww,,41,2.236,0.74,us,us70006sj8,2020-07-10T17:56:34.805Z,"34km NW of Idgah, Pakistan",earthquake,6.6,3.7,0.061,26,reviewed,us,us
2019-12-30T17:12:33.526Z,35.6686,74.4751,10,4.6,mb,,80,2.245,0.68,us,us70006sif,2020-03-14T22:23:09.040Z,"31km SSE of Gilgit, Pakistan",earthquake,2.9,1.9,0.081,45,reviewed,us,us
2019-12-30T00:52:30.193Z,35.8128,77.6114,10,4.1,mb,,111,4.176,0.84,us,us70006sb0,2020-03-14T22:23:21.040Z,"126km NE of Thang, India",earthquake,9.2,1.9,0.093,32,reviewed,us,us
2019-12-19T22:16:20.980Z,34.6953,79.7421,10,4.5,mb,,109,5.466,0.75,us,us70006nu2,2020-03-07T17:47:36.040Z,"141km N of Rutog, China",earthquake,8.7,1.9,0.093,34,reviewed,us,us
2019-12-08T13:31:27.767Z,36.2716,78.0123,49.87,4.5,mb,,102,4.691,1.36,us,us60006nwu,2020-02-29T19:53:06.040Z,"177km WSW of Layka, China",earthquake,4.8,6.7,0.127,20,reviewed,us,us
2019-11-12T02:00:26.426Z,30.0659,80.2927,10,4.3,mb,,94,6.082,0.51,us,us60006ag4,2020-02-07T20:20:14.040Z,"33km NW of Darchula, Nepal",earthquake,8.7,1.9,0.113,22,reviewed,us,us
2019-11-05T09:50:40.576Z,35.7655,76.1396,10,4.4,mb,,101,3.169,0.73,us,us60006b5l,2020-02-01T23:21:36.040Z,"70km NE of Skardu, Pakistan",earthquake,4.5,1.9,0.148,13,reviewed,us,us
2019-10-22T13:19:17.101Z,36.152,78.2867,35.51,4.4,mb,,97,4.819,0.95,us,us70005x4v,2020-01-11T21:26:23.040Z,"165km SW of Layka, China",earthquake,9.8,2.1,0.155,12,reviewed,us,us
2019-10-21T17:26:35.244Z,33.4696,81.4093,10,4,mb,,135,6.798,0.57,us,us70005wtf,2020-01-03T16:09:46.040Z,"120km NNE of Napug, China",earthquake,8.3,1.9,0.144,13,reviewed,us,us
2019-10-18T10:32:54.487Z,32.9796,73.5759,42.77,4.7,mb,,120,0.717,0.94,us,us70005vdm,2020-01-03T16:09:29.040Z,"14km WNW of Jhelum, Pakistan",earthquake,8.5,6.5,0.097,32,reviewed,us,us
2019-10-13T17:41:20.227Z,33.0038,73.5064,10,3.3,mb,,183,0.675,0.78,us,us70005twq,2019-12-28T20:45:47.040Z,"22km WNW of Jhelum, Pakistan",earthquake,7.6,2,0.344,2,reviewed,us,us
2019-10-08T07:44:40.429Z,33.9956,72.5735,10,3.9,mb,,161,0.673,1.04,us,us70005rvq,2019-12-28T20:45:47.040Z,"9km SSW of Topi, Pakistan",earthquake,7.4,2,0.296,3,reviewed,us,us
2019-10-06T05:25:54.681Z,32.9078,73.6905,10,3.6,mb,,184,0.82,0.4,us,us70005xep,2020-09-18T23:06:43.676Z,"4km SW of Jhelum, Pakistan",earthquake,6,2,0.251,4,reviewed,us,us
2019-09-28T04:58:27.168Z,30.026,81.5319,10,4.4,mb,,183,7.903,0.82,us,us70005s36,2019-12-20T19:04:30.040Z,"43km SE of Burang, China",earthquake,5.8,2,0.268,4,reviewed,us,us
2019-09-26T07:01:25.768Z,33.0481,73.6318,10,4.7,mb,,101,0.673,1.12,us,us70005lie,2020-07-10T17:48:39.521Z,"15km NW of Jhelum, Pakistan",earthquake,7.6,1.9,0.138,16,reviewed,us,us
2019-09-25T01:03:59.497Z,32.9807,73.6466,10,3.7,mb,,178,0.739,1.07,us,us70005ky5,2019-12-20T19:02:23.040Z,"9km NW of Jhelum, Pakistan",earthquake,6.7,2,0.224,5,reviewed,us,us
2019-09-24T17:35:57.556Z,33.0904,73.7855,10,3.6,mb,,180,0.706,0.72,us,us60005mye,2019-12-20T19:02:14.040Z,"5km SSE of New Mirpur, Pakistan",earthquake,7,2,0.287,3,reviewed,us,us
2019-09-24T11:01:54.990Z,33.0779,73.7936,10,5.4,mww,,21,0.72,0.87,us,us60005mqp,2020-10-18T20:27:25.449Z,"7km SSE of New Mirpur, Pakistan",earthquake,5.1,1.7,0.11,8,reviewed,us,us
2019-09-16T14:33:25.773Z,29.691,80.7419,10,4.5,mb,,165,5.597,0.47,us,us70005h21,2019-12-05T18:31:10.040Z,"26km SE of Darchula, Nepal",earthquake,8.9,1.8,0.151,13,reviewed,us,us
2019-09-09T06:40:33.517Z,32.9804,76.181,43.93,4.9,mb,,61,2.528,0.6,us,us70005dl7,2019-11-30T19:36:37.040Z,"43km E of Bhadarwah, India",earthquake,8,6.7,0.042,177,reviewed,us,us
2019-09-08T02:34:32.435Z,33.0736,76.1758,10,4.8,mb,,107,2.5,0.74,us,us70005dbm,2019-11-30T19:36:50.040Z,"44km ENE of Bhadarwah, India",earthquake,4.3,1.8,0.066,70,reviewed,us,us
2019-07-29T03:33:52.069Z,32.8856,76.7183,10,4.4,mb,,164,2.989,0.93,us,us60004wwv,2019-10-11T20:12:47.040Z,"44km NW of Kyelang, India",earthquake,8.6,1.8,0.085,40,reviewed,us,us
2019-07-24T19:17:11.840Z,32.7286,76.3907,10,4.2,mb,,169,2.774,0.84,us,us60004v0j,2019-10-11T20:12:27.040Z,"30km NE of Chamba, India",earthquake,12,1.9,0.214,6,reviewed,us,us
2019-07-14T22:25:54.113Z,35.0886,81.1262,10,4.3,mb,,108,6.654,0.91,us,us70004k7v,2019-09-28T20:01:24.040Z,"230km NE of Rutog, China",earthquake,5.3,1.9,0.125,18,reviewed,us,us
2019-06-16T12:39:10.169Z,34.6122,72.2752,31.11,4.6,mb,,84,1.264,0.99,us,us600041e0,2019-09-06T14:25:14.040Z,"16km SSW of Saidu Sharif, Pakistan",earthquake,6.5,4.5,0.082,44,reviewed,us,us
2019-06-12T03:10:24.900Z,34.6813,72.8572,12.9,5.2,mb,,67,1.083,0.65,us,us70003ydx,2019-09-06T14:25:34.040Z,"15km W of Batgram, Pakistan",earthquake,6.5,3.7,0.038,230,reviewed,us,us
2019-04-29T13:36:04.899Z,33.5157,81.5138,15.73,4.5,mb,,134,6.882,0.64,us,us70003e00,2019-07-13T18:42:52.040Z,"128km NNE of Napug, China",earthquake,7.8,4.8,0.108,25,reviewed,us,us
2019-02-17T22:53:30.280Z,33.4367,76.7294,23.88,4.5,mb,,83,2.898,0.74,us,us2000jjcb,2019-05-01T22:01:00.040Z,"90km E of Kishtwar, India",earthquake,7.9,5.9,0.1,29,reviewed,us,us
2019-02-05T21:11:27.890Z,35.0109,74.2087,10,4,mb,,89,1.564,1.35,us,us2000jdur,2019-04-25T15:31:44.040Z,"45km SSE of Chilas, Pakistan",earthquake,7,1.9,0.129,16,reviewed,us,us
2019-02-05T16:47:06.750Z,35.103,74.1694,20.67,5.2,mww,,19,1.629,0.85,us,us2000jdp4,2019-04-25T15:31:43.040Z,"34km S of Chilas, Pakistan",earthquake,6.6,3.6,0.059,28,reviewed,us,us
2019-02-05T13:38:32.990Z,35.1073,74.0402,30.14,4.5,mb,,68,1.587,0.77,us,us2000jdll,2019-04-25T15:31:42.040Z,"34km S of Chilas, Pakistan",earthquake,5.4,5.4,0.089,37,reviewed,us,us
2019-01-10T02:52:04.640Z,34.3645,78.2373,34.51,4.6,mb,,86,4.188,0.65,us,us2000j2bz,2019-04-02T20:51:50.040Z,"64km ENE of Leh, India",earthquake,8.2,5.1,0.114,23,reviewed,us,us
2019-01-06T23:10:42.200Z,34.2031,78.0505,10,4.3,mb,,148,6.159,1.14,us,us2000j0y0,2019-03-08T17:50:18.040Z,"43km E of Leh, India",earthquake,10.4,2,0.16,11,reviewed,us,us
2018-12-18T17:21:21.340Z,35.1488,81.0515,7.79,4.6,mb,,57,6.212,0.85,us,us2000iuuc,2019-02-23T20:21:21.040Z,"231km NNE of Rutog, China",earthquake,7.9,4.3,0.077,55,reviewed,us,us
2018-11-11T22:11:13.170Z,35.1202,81.0792,10,4.4,mb,,75,6.245,0.78,us,us1000hqnj,2019-01-21T16:42:51.040Z,"230km NE of Rutog, China",earthquake,5,1.9,0.098,30,reviewed,us,us
2018-11-11T07:07:31.800Z,29.9248,80.6472,10,4.5,mb,,109,5.746,0.87,us,us1000hqj0,2019-01-21T16:42:58.040Z,"13km NE of Dharchula, India",earthquake,6,1.9,0.096,32,reviewed,us,us
2018-10-29T16:02:48.200Z,34.0313,77.9427,10,4.1,mb,,140,3.908,0.61,us,us2000i61q,2019-01-21T14:29:38.040Z,"36km ESE of Leh, India",earthquake,8.4,2,0.521,4,reviewed,us,us
2018-10-29T14:56:47.190Z,34.3492,78.1903,10,4.5,mb,,135,4.147,0.63,us,us2000i61m,2019-01-21T14:29:38.040Z,"59km ENE of Leh, India",earthquake,8.7,1.9,0.15,16,reviewed,us,us
2018-10-29T14:43:35.790Z,34.2342,78.1243,10,4.9,mww,,42,4.078,0.77,us,us1000hij3,2019-04-09T01:59:32.664Z,"50km E of Leh, India",earthquake,6.6,1.7,0.083,14,reviewed,us,us
2018-10-29T06:27:55.360Z,34.2929,78.0838,10,4.6,mb,,117,4.052,0.74,us,us1000hie4,2019-01-21T14:29:37.040Z,"48km ENE of Leh, India",earthquake,7.8,1.9,0.129,18,reviewed,us,us
2018-09-27T21:13:19.900Z,34.2169,80.6903,10,5,mww,,29,6.194,0.66,us,us1000h3gn,2018-12-01T16:42:42.040Z,"131km NE of Rutog, China",earthquake,6.9,1.8,0.11,8,reviewed,us,us
2018-09-23T05:45:32.000Z,30.9898,74.2076,10,3.7,mb,,149,2.769,0.78,us,us2000hiwa,2018-11-27T15:52:03.040Z,"21km E of Chunian, Pakistan",earthquake,5.9,2,0.178,8,reviewed,us,us
